0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
4099 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
4099 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
4111 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@2d1ddb1d[blacklight-core] main{StandardDirectoryReader(segments_6f:585:nrt _6a(4.10.3):C158/27:delGen=17 _6l(4.10.3):C10 _6m(4.10.3):C1 _6n(4.10.3):C1 _6o(4.10.3):C1 _6p(4.10.3):C1 _6q(4.10.3):C1 _6r(4.10.3):C1 _6s(4.10.3):C1 _6t(4.10.3):C1 _6v(4.10.3):C1 _6w(4.10.3):C1 _6x(4.10.3):C1 _6y(4.10.3):C1 _6z(4.10.3):C1 _70(4.10.3):C1 _71(4.10.3):C1 _72(4.10.3):C1 _73(4.10.3):C1)}
4120 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core
4123 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/home/ubuntu/nyugeoblacklight/jetty
4124 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
4127 [recoveryExecutor-7-thread-1] WARN  org.apache.solr.update.UpdateLog  – Starting log replay tlog{file=/home/ubuntu/nyugeoblacklight/jetty/solr/blacklight-core/data/tlog/tlog.0000000000000000231 refcount=2} active=false starting pos=0
4234 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
4287 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.schema.SpatialRecursivePrefixTreeFieldType  – location_rpt{class=org.apache.solr.schema.SpatialRecursivePrefixTreeFieldType,analyzer=org.apache.solr.schema.FieldType$DefaultAnalyzer,args={distErrPct=0.025, class=solr.SpatialRecursivePrefixTreeFieldType, maxDistErr=0.000009, units=degrees}} strat: RecursivePrefixTreeStrategy(prefixGridScanLevel:7,SPG:(GeohashPrefixTree(maxLevels:11,ctx:SpatialContext{geo=true, calculator=Haversine, worldBounds=Rect(minX=-180.0,maxX=180.0,minY=-90.0,maxY=90.0)}))) maxLevels: 11
4735 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.update.UpdateHandler  – start commit{flags=2,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
4759 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dct_isPartOf_sm,memSize=4288,tindexSize=0,time=0,phase1=0,nTerms=0,bigTerms=0,termInstances=0,uses=0}
